Loading pytorch/1.13.1-gpu
  Loading requirement: nvidia/cudnn/8.6.0-cuda-11.6 nvidia/tensorrt/8.4.3.1-u2
    gcc/8.2.0 nvidia/nvhpc-nompi/22.2 openmpi/4.1.4-cuda-11.6 python/3.10.8-gpu
    libsndfile/1.0.28
Using device: cpu

MLP(
  (layers): Sequential(
    (0): Linear(in_features=7, out_features=32, bias=True)
    (1): ReLU()
    (2): Linear(in_features=32, out_features=27, bias=True)
  )
)
episode: 93/200, episode end value: 54270.35, duration: 0:00:00.739147
episode: 94/200, episode end value: 50354.77, duration: 0:00:00.736102
episode: 95/200, episode end value: 57843.40, duration: 0:00:00.739250
episode: 96/200, episode end value: 50095.49, duration: 0:00:00.741456
episode: 97/200, episode end value: 50324.20, duration: 0:00:00.742997
episode: 98/200, episode end value: 48092.86, duration: 0:00:00.735660
episode: 99/200, episode end value: 61130.47, duration: 0:00:00.737724
episode: 100/200, episode end value: 40740.56, duration: 0:00:00.737716
episode: 101/200, episode end value: 46916.86, duration: 0:00:00.739661
episode: 102/200, episode end value: 53911.41, duration: 0:00:00.741169
episode: 103/200, episode end value: 57494.40, duration: 0:00:00.739008
episode: 104/200, episode end value: 56093.42, duration: 0:00:00.742735
episode: 105/200, episode end value: 58082.49, duration: 0:00:00.737367
episode: 106/200, episode end value: 53617.70, duration: 0:00:00.740082
episode: 107/200, episode end value: 54765.89, duration: 0:00:00.741736
episode: 108/200, episode end value: 61204.30, duration: 0:00:00.739248
episode: 109/200, episode end value: 63107.78, duration: 0:00:00.758849
episode: 110/200, episode end value: 58178.67, duration: 0:00:00.742551
episode: 111/200, episode end value: 57354.44, duration: 0:00:00.740965
episode: 112/200, episode end value: 63473.13, duration: 0:00:00.738870
episode: 113/200, episode end value: 52399.26, duration: 0:00:00.740943
episode: 114/200, episode end value: 52865.64, duration: 0:00:00.735912
episode: 115/200, episode end value: 61549.91, duration: 0:00:00.758481
episode: 116/200, episode end value: 42596.35, duration: 0:00:00.734969
episode: 117/200, episode end value: 59551.84, duration: 0:00:00.737920
episode: 118/200, episode end value: 50018.89, duration: 0:00:00.739985
episode: 119/200, episode end value: 49025.16, duration: 0:00:00.748006
episode: 120/200, episode end value: 42538.59, duration: 0:00:00.752528
episode: 121/200, episode end value: 50626.61, duration: 0:00:00.776681
episode: 122/200, episode end value: 40636.28, duration: 0:00:00.753291
episode: 123/200, episode end value: 38188.20, duration: 0:00:00.769378
episode: 124/200, episode end value: 38569.02, duration: 0:00:00.758701
episode: 125/200, episode end value: 37997.34, duration: 0:00:00.754907
episode: 126/200, episode end value: 41251.92, duration: 0:00:00.761205
episode: 127/200, episode end value: 38560.96, duration: 0:00:00.750504
episode: 128/200, episode end value: 37662.66, duration: 0:00:00.758917
episode: 129/200, episode end value: 37973.03, duration: 0:00:00.759225
episode: 130/200, episode end value: 42056.85, duration: 0:00:00.747421
episode: 131/200, episode end value: 39513.96, duration: 0:00:00.735635
episode: 132/200, episode end value: 39362.44, duration: 0:00:00.754554
episode: 133/200, episode end value: 42917.42, duration: 0:00:00.735580
episode: 134/200, episode end value: 42854.18, duration: 0:00:00.729980
episode: 135/200, episode end value: 39452.01, duration: 0:00:00.726449
episode: 136/200, episode end value: 39136.98, duration: 0:00:00.727477
episode: 137/200, episode end value: 39652.93, duration: 0:00:00.732908
episode: 138/200, episode end value: 43589.73, duration: 0:00:00.725889
episode: 139/200, episode end value: 50177.74, duration: 0:00:00.733214
episode: 140/200, episode end value: 43480.48, duration: 0:00:00.731404
episode: 141/200, episode end value: 45704.68, duration: 0:00:00.736792
episode: 142/200, episode end value: 40326.78, duration: 0:00:00.726528
episode: 143/200, episode end value: 49935.87, duration: 0:00:00.726406
episode: 144/200, episode end value: 41821.77, duration: 0:00:00.727860
episode: 145/200, episode end value: 44333.63, duration: 0:00:00.725470
episode: 146/200, episode end value: 52170.11, duration: 0:00:00.729474
episode: 147/200, episode end value: 46654.93, duration: 0:00:00.727761
episode: 148/200, episode end value: 48341.12, duration: 0:00:00.728369
episode: 149/200, episode end value: 45490.61, duration: 0:00:00.727758
episode: 150/200, episode end value: 43825.70, duration: 0:00:00.727837
episode: 151/200, episode end value: 43565.83, duration: 0:00:00.731669
episode: 152/200, episode end value: 44486.57, duration: 0:00:00.746257
episode: 153/200, episode end value: 42460.01, duration: 0:00:00.750525
episode: 154/200, episode end value: 44065.82, duration: 0:00:00.725268
episode: 155/200, episode end value: 40449.82, duration: 0:00:00.727212
episode: 156/200, episode end value: 48246.87, duration: 0:00:00.731418
episode: 157/200, episode end value: 38909.32, duration: 0:00:00.725130
episode: 158/200, episode end value: 43026.49, duration: 0:00:00.729341
episode: 159/200, episode end value: 44073.82, duration: 0:00:00.724297
episode: 160/200, episode end value: 44332.68, duration: 0:00:00.728484
episode: 161/200, episode end value: 43044.18, duration: 0:00:00.731868
episode: 162/200, episode end value: 40783.94, duration: 0:00:00.727662
episode: 163/200, episode end value: 42216.82, duration: 0:00:00.725070
episode: 164/200, episode end value: 44017.16, duration: 0:00:00.726732
episode: 165/200, episode end value: 38379.76, duration: 0:00:00.731224
episode: 166/200, episode end value: 39302.06, duration: 0:00:00.724934
episode: 167/200, episode end value: 41615.37, duration: 0:00:00.737213
episode: 168/200, episode end value: 37816.59, duration: 0:00:00.729278
episode: 169/200, episode end value: 40214.74, duration: 0:00:00.728353
episode: 170/200, episode end value: 41243.21, duration: 0:00:00.726820
episode: 171/200, episode end value: 39889.10, duration: 0:00:00.727194
episode: 172/200, episode end value: 39222.94, duration: 0:00:00.732841
episode: 173/200, episode end value: 41157.23, duration: 0:00:00.726288
episode: 174/200, episode end value: 43045.31, duration: 0:00:00.727032
episode: 175/200, episode end value: 41046.83, duration: 0:00:00.727655
episode: 176/200, episode end value: 44858.24, duration: 0:00:00.727620
episode: 177/200, episode end value: 41006.50, duration: 0:00:00.727381
episode: 178/200, episode end value: 44652.12, duration: 0:00:00.726322
episode: 179/200, episode end value: 40693.13, duration: 0:00:00.729302
episode: 180/200, episode end value: 40862.92, duration: 0:00:00.726379
episode: 181/200, episode end value: 42286.66, duration: 0:00:00.726073
episode: 182/200, episode end value: 46610.92, duration: 0:00:00.731099
episode: 183/200, episode end value: 53482.27, duration: 0:00:00.746474
episode: 184/200, episode end value: 48187.40, duration: 0:00:00.728343
episode: 185/200, episode end value: 55331.45, duration: 0:00:00.727330
episode: 186/200, episode end value: 56614.76, duration: 0:00:00.735832
episode: 187/200, episode end value: 52761.92, duration: 0:00:00.745120
episode: 188/200, episode end value: 47836.94, duration: 0:00:00.728058
episode: 189/200, episode end value: 46177.74, duration: 0:00:00.732231
episode: 190/200, episode end value: 37466.62, duration: 0:00:00.728692
episode: 191/200, episode end value: 43793.10, duration: 0:00:00.727304
episode: 192/200, episode end value: 37169.71, duration: 0:00:00.728940
episode: 193/200, episode end value: 37105.08, duration: 0:00:00.738902
