Loading pytorch/1.13.1-gpu
  Loading requirement: nvidia/cudnn/8.6.0-cuda-11.6 nvidia/tensorrt/8.4.3.1-u2
    gcc/8.2.0 nvidia/nvhpc-nompi/22.2 openmpi/4.1.4-cuda-11.6 python/3.10.8-gpu
    libsndfile/1.0.28
Using device: cpu

MLP(
  (layers): Sequential(
    (0): Linear(in_features=7, out_features=32, bias=True)
    (1): ReLU()
    (2): Linear(in_features=32, out_features=27, bias=True)
  )
)
episode: 1/200, episode end value: 2077.61, duration: 0:00:02.483239
episode: 2/200, episode end value: 28950.76, duration: 0:00:00.742053
episode: 3/200, episode end value: 31445.16, duration: 0:00:00.747801
episode: 4/200, episode end value: 32312.68, duration: 0:00:00.745146
episode: 5/200, episode end value: 27095.98, duration: 0:00:00.748963
episode: 6/200, episode end value: 28580.94, duration: 0:00:00.744734
episode: 7/200, episode end value: 30344.72, duration: 0:00:00.749727
episode: 8/200, episode end value: 19535.31, duration: 0:00:00.744258
episode: 9/200, episode end value: 37272.93, duration: 0:00:00.746949
episode: 10/200, episode end value: 32737.45, duration: 0:00:00.746198
episode: 11/200, episode end value: 30245.84, duration: 0:00:00.747564
episode: 12/200, episode end value: 21454.01, duration: 0:00:00.748627
episode: 13/200, episode end value: 35825.01, duration: 0:00:00.746662
episode: 14/200, episode end value: 22047.17, duration: 0:00:00.749150
episode: 15/200, episode end value: 22682.16, duration: 0:00:00.744361
episode: 16/200, episode end value: 27548.75, duration: 0:00:00.749723
episode: 17/200, episode end value: 31861.63, duration: 0:00:00.745828
episode: 18/200, episode end value: 25606.54, duration: 0:00:00.747692
episode: 19/200, episode end value: 22525.28, duration: 0:00:00.745222
episode: 20/200, episode end value: 25312.95, duration: 0:00:00.745345
episode: 21/200, episode end value: 20881.25, duration: 0:00:00.751533
episode: 22/200, episode end value: 33486.17, duration: 0:00:00.744210
episode: 23/200, episode end value: 34629.78, duration: 0:00:00.747436
episode: 24/200, episode end value: 36411.74, duration: 0:00:00.747504
episode: 25/200, episode end value: 37439.13, duration: 0:00:00.746119
episode: 26/200, episode end value: 38272.97, duration: 0:00:00.750167
episode: 27/200, episode end value: 44367.49, duration: 0:00:00.747976
episode: 28/200, episode end value: 42305.46, duration: 0:00:00.742708
episode: 29/200, episode end value: 41768.69, duration: 0:00:00.749880
episode: 30/200, episode end value: 36270.40, duration: 0:00:00.742706
episode: 31/200, episode end value: 39940.88, duration: 0:00:00.745065
episode: 32/200, episode end value: 39940.88, duration: 0:00:00.746961
episode: 33/200, episode end value: 47063.63, duration: 0:00:00.746824
episode: 34/200, episode end value: 35557.11, duration: 0:00:00.746437
episode: 35/200, episode end value: 39940.88, duration: 0:00:00.755982
episode: 36/200, episode end value: 23947.40, duration: 0:00:00.753878
episode: 37/200, episode end value: 34205.64, duration: 0:00:00.745057
episode: 38/200, episode end value: 37996.95, duration: 0:00:00.740826
episode: 39/200, episode end value: 34449.82, duration: 0:00:00.743392
episode: 40/200, episode end value: 38105.34, duration: 0:00:00.744551
episode: 41/200, episode end value: 39940.88, duration: 0:00:00.739210
episode: 42/200, episode end value: 38698.17, duration: 0:00:00.745107
episode: 43/200, episode end value: 50231.62, duration: 0:00:00.741869
episode: 44/200, episode end value: 36111.15, duration: 0:00:00.742906
episode: 45/200, episode end value: 28290.63, duration: 0:00:00.742841
episode: 46/200, episode end value: 32157.74, duration: 0:00:00.742271
episode: 47/200, episode end value: 32245.46, duration: 0:00:00.742196
episode: 48/200, episode end value: 33108.57, duration: 0:00:00.745947
episode: 49/200, episode end value: 39940.88, duration: 0:00:00.740601
episode: 50/200, episode end value: 39940.88, duration: 0:00:00.739411
episode: 51/200, episode end value: 36735.68, duration: 0:00:00.744658
episode: 52/200, episode end value: 40915.57, duration: 0:00:00.741412
episode: 53/200, episode end value: 40018.03, duration: 0:00:00.748563
episode: 54/200, episode end value: 30524.32, duration: 0:00:00.741487
episode: 55/200, episode end value: 30045.24, duration: 0:00:00.751387
episode: 56/200, episode end value: 25522.32, duration: 0:00:00.758767
episode: 57/200, episode end value: 37370.64, duration: 0:00:00.742370
episode: 58/200, episode end value: 34552.84, duration: 0:00:00.746107
episode: 59/200, episode end value: 35796.50, duration: 0:00:00.744228
episode: 60/200, episode end value: 34466.29, duration: 0:00:00.743702
episode: 61/200, episode end value: 29280.96, duration: 0:00:00.741806
episode: 62/200, episode end value: 38472.79, duration: 0:00:00.742039
episode: 63/200, episode end value: 31249.06, duration: 0:00:00.741181
episode: 64/200, episode end value: 38336.72, duration: 0:00:00.742674
episode: 65/200, episode end value: 24299.80, duration: 0:00:00.740767
episode: 66/200, episode end value: 57831.94, duration: 0:00:00.741374
episode: 67/200, episode end value: 36922.41, duration: 0:00:00.741488
