Loading pytorch/1.13.1-gpu
  Loading requirement: gcc/8.2.0 nvidia/nvhpc-nompi/22.2
    nvidia/cudnn/8.6.0-cuda-11.6 openmpi/4.1.4-cuda-11.6 python/3.10.8-gpu
    nvidia/tensorrt/8.4.3.1-u2
episode: 93/2000, episode end value: 39947.47, duration: 0:00:00.757270
episode: 94/2000, episode end value: 40413.15, duration: 0:00:00.758906
episode: 95/2000, episode end value: 42574.15, duration: 0:00:00.761089
episode: 96/2000, episode end value: 39040.32, duration: 0:00:00.761041
episode: 97/2000, episode end value: 40868.87, duration: 0:00:00.753916
episode: 98/2000, episode end value: 39947.47, duration: 0:00:00.753066
episode: 99/2000, episode end value: 39947.47, duration: 0:00:00.754836
episode: 100/2000, episode end value: 41072.40, duration: 0:00:00.759629
episode: 101/2000, episode end value: 37424.01, duration: 0:00:00.760020
episode: 102/2000, episode end value: 39227.15, duration: 0:00:00.755415
episode: 103/2000, episode end value: 37797.16, duration: 0:00:00.755699
episode: 104/2000, episode end value: 41262.68, duration: 0:00:00.755805
episode: 105/2000, episode end value: 39640.16, duration: 0:00:00.757265
episode: 106/2000, episode end value: 45323.81, duration: 0:00:00.767682
episode: 107/2000, episode end value: 42019.53, duration: 0:00:00.764545
episode: 108/2000, episode end value: 41817.92, duration: 0:00:00.768082
episode: 109/2000, episode end value: 40561.83, duration: 0:00:00.764363
episode: 110/2000, episode end value: 36709.71, duration: 0:00:00.768006
episode: 111/2000, episode end value: 41446.55, duration: 0:00:00.772746
episode: 112/2000, episode end value: 40621.78, duration: 0:00:00.764325
episode: 113/2000, episode end value: 40170.66, duration: 0:00:00.754229
episode: 114/2000, episode end value: 40469.27, duration: 0:00:00.756930
episode: 115/2000, episode end value: 38026.12, duration: 0:00:00.756747
episode: 116/2000, episode end value: 39736.15, duration: 0:00:00.763227
episode: 117/2000, episode end value: 40800.16, duration: 0:00:00.766671
episode: 118/2000, episode end value: 41104.89, duration: 0:00:00.781068
episode: 119/2000, episode end value: 43150.56, duration: 0:00:00.782715
episode: 120/2000, episode end value: 42068.11, duration: 0:00:00.786029
episode: 121/2000, episode end value: 40166.26, duration: 0:00:00.783168
episode: 122/2000, episode end value: 39543.59, duration: 0:00:00.772735
episode: 123/2000, episode end value: 40473.06, duration: 0:00:00.771962
episode: 124/2000, episode end value: 40644.90, duration: 0:00:00.769996
episode: 125/2000, episode end value: 39899.24, duration: 0:00:00.771945
episode: 126/2000, episode end value: 37256.51, duration: 0:00:00.770710
episode: 127/2000, episode end value: 40965.03, duration: 0:00:00.772401
episode: 128/2000, episode end value: 43560.71, duration: 0:00:00.771382
episode: 129/2000, episode end value: 41585.22, duration: 0:00:00.761526
episode: 130/2000, episode end value: 45436.96, duration: 0:00:00.763171
episode: 131/2000, episode end value: 41318.97, duration: 0:00:00.764010
episode: 132/2000, episode end value: 39707.24, duration: 0:00:00.763181
episode: 133/2000, episode end value: 41472.90, duration: 0:00:00.762303
episode: 134/2000, episode end value: 38472.90, duration: 0:00:00.759860
episode: 135/2000, episode end value: 41494.56, duration: 0:00:00.761193
episode: 136/2000, episode end value: 41078.10, duration: 0:00:00.758738
episode: 137/2000, episode end value: 40530.56, duration: 0:00:00.761013
episode: 138/2000, episode end value: 36536.77, duration: 0:00:00.766047
episode: 139/2000, episode end value: 39892.38, duration: 0:00:00.760438
episode: 140/2000, episode end value: 39990.60, duration: 0:00:00.762797
episode: 141/2000, episode end value: 37991.71, duration: 0:00:00.760141
episode: 142/2000, episode end value: 37648.79, duration: 0:00:00.760468
episode: 143/2000, episode end value: 40927.47, duration: 0:00:00.760976
episode: 144/2000, episode end value: 41187.88, duration: 0:00:00.764149
episode: 145/2000, episode end value: 35445.48, duration: 0:00:00.766572
episode: 146/2000, episode end value: 42474.14, duration: 0:00:00.753607
episode: 147/2000, episode end value: 42920.22, duration: 0:00:00.761228
episode: 148/2000, episode end value: 38582.63, duration: 0:00:00.760682
episode: 149/2000, episode end value: 40754.48, duration: 0:00:00.763666
