BA,CAT,CVX,DIS,GE,HON,IBM,JNJ,KO,MMM
296.8399963378906,157.0399932861328,127.58000183105469,111.80000305175781,86.16802215576172,147.3232422,147.46653747558594,139.22999572753906,45.540000915527344,197.02340698242188
297.79998779296875,157.27999877929688,128.50999450683594,112.27999877929688,86.98273468017578,146.10601806640625,151.52008056640625,140.55999755859375,45.439998626708984,197.01504516601562
296.6700134277344,159.44000244140625,128.11000061035156,112.2300033569336,88.80386352539062,148.08041381835938,154.5889129638672,140.5500030517578,46.08000183105469,199.59030151367188
308.8399963378906,161.9600067138672,127.9000015258789,111.62000274658203,88.85179138183594,149.11553955078125,155.3441619873047,141.7100067138672,46.06999969482422,201.14549255371094
310.1499938964844,166.02999877929688,128.52999877929688,110.0199966430664,87.60575866699219,148.31044006347656,156.28106689453125,141.88999938964844,46,200.49331665039062
318.42999267578125,166.42999267578125,127.83999633789062,109.94000244140625,88.94763946533203,149.52767944335938,156.6252441,144.13999938964844,46.22999954223633,201.7391357421875
320.2600098,165.8699951171875,128.66000366210938,109.47000122070312,90.72084045410156,150.56280517578125,156.95985412597656,143.97000122070312,46.06999969482422,201.6220703
328.1199951171875,169.1999969482422,132.57000732421875,110.98999786376953,91.15216064453125,151.35830688476562,156.97897338867188,144.7899932861328,46.040000915527344,202.60032653808594
336.2099914550781,170.3000030517578,133.60000610351562,112.47000122070312,89.90612793,152.4605255126953,155.9655762,145.75999450683594,46.150001525878906,204.40635681152344
335.1600036621094,169.30999755859375,132.00999450683594,110.69000244140625,87.27028656,151.32955932617188,156.6443634033203,146.86000061035156,46.529998779296875,204.63211059570312
351.0100098,168.5,132.36000061035156,111.97000122070312,83.14878845214844,151.8279571533203,161.2332763671875,146.97999572753906,46.81999969482422,207.4498291015625
340.1600036621094,168.8300018310547,131.58999633789062,110.41999816894531,80.36917877197266,151.22413635253906,161.68260192871094,146.9199981689453,46.880001068115234,205.61036682128906
337.7300109863281,170.41000366210938,131.3000030517578,110.58999633789062,77.92503356933594,152.0963134765625,155.2294464111328,147.36000061035156,47.15999984741211,207.50836181640625
338,170.88999938964844,132.55999755859375,111.0999984741211,77.49371337890625,151.9525604248047,155.44932556152344,148.13999938964844,47.380001068115234,206.77256774902344
335.5899963378906,169.42999267578125,131.02000427246094,110.41000366210938,80.94426727294922,152.95892333984375,158.93881225585938,141.8300018310547,47.45000076293945,205.94480895996094
334.69000244140625,168.33999633789062,131.38999938964844,110.5,78.78767395019531,153.32313537597656,158.09751892089844,142.07000732421875,47.83000183105469,207.09866333007812
343.1099853515625,169.3699951171875,130.64999389648438,110.55000305175781,77.54163360595703,155.1154327392578,158.1931152,144.39999389648438,47.84000015258789,211.0033416748047
343.2200012207031,167.05999755859375,131.19000244140625,112.19000244140625,77.30201721191406,158.13455200195312,159.9808807373047,145.3300018310547,48.529998779296875,216.24581909179688
340.82000732421875,162.5800018310547,128.47999572753906,111.54000091552734,78.02088165283203,154.76080322265625,159.46463012695312,143.67999267578125,47.70000076293945,214.05519104003906
337.7099914550781,163.75999450683594,125.2300033569336,110.11000061035156,76.43937683105469,152.36468505859375,156.42446899414062,142.42999267578125,47.40999984741211,210.31771850585938
354.3699951171875,162.77999877929688,125.3499984741211,108.66999816894531,77.49371337890625,153.0355987548828,156.50096130371094,138.19000244140625,47.59000015258789,209.4481658935547
356.94000244140625,162.24000549316406,125.56999969482422,110.48999786376953,76.77484893798828,153.0164337158203,155.2581329345703,140.02000427246094,47.45000076293945,207.3076934814453
348.9100036621094,157.49000549316406,118.58000183105469,108.69999694824219,74.95372009277344,150.14108276367188,152.0363311767578,137.67999267578125,46.72999954223633,204.99163818359375
328.8800048828125,151.0800018310547,112.62000274658203,104.69999694824219,71.45523834228516,143.93032836914062,145.82217407226562,130.38999938964844,44.88999938964844,193.51170349121094
340.9100036621094,156.41000366210938,117.18000030517578,106.16999816894531,73.1805191,145.10922241210938,148.50860595703125,131.8300018310547,44.66999816894531,195.34280395507812
348.1199951171875,154.33999633789062,115.29000091552734,104.76000213623047,73.08467102050781,144.90794372558594,147.08413696289062,131.4199981689453,44.560001373291016,194.97491455078125
