USO,GLD,UNG
96.55999755859375,125.1500015258789,96.16000366210938
98.72000122070312,124.81999969482422,94.55999755859375
98.95999908447266,125.45999908447266,90.72000122070312
98.48000336,125.33000183105469,88.31999969482422
99.04000091552734,125.30999755859375,89.19999694824219
100.55999755859375,124.7300033569336,93.19999694824219
101.44000244140625,125.02999877929688,91.95999908447266
101.5999984741211,125.44000244140625,97.59999847
102.95999908447266,126.95999908447266,101.12000274658203
102.08000183105469,127.16999816894531,98.40000153
102.23999786376953,126.13999938964844,102.4000015258789
102.08000183105469,125.86000061035156,100.76000213623047
101.76000213623047,126.41999816894531,99.44000244140625
102.23999786376953,126.6500015258789,99.40000153
103.76000213623047,127.27999877929688,103.76000213623047
105.76000213623047,128.8300018310547,102.87999725341797
104.4800033569336,127.97000122070312,104.68000030517578
105.91999816894531,128.07000732421875,107.08000183105469
104.87999725341797,127.3499984741211,107.36000061035156
103.19999694824219,126.80000305175781,107.08000183105469
103.83999633789062,127.6500015258789,100.31999969482422
105.91999816894531,128.07000732421875,97.40000153
104.31999969482422,126.38999938964844,96.80000305175781
102.16000366210938,126.70999908447266,92.95999908447266
101.5999984741211,125.37999725341797,93.19999694824219
98.95999908447266,124.79000091552734,91.19999694824219
96.72000122070312,124.9800033569336,90.95999908447266
94.87999725341797,124.7699966430664,88.12000274658203
95.12000274658203,125.37000274658203,86.68000030517578
94.95999908447266,126.08000183105469,88
97.44000244140625,128.22999572753906,87.95999908447266
98.63999938964844,128.3800048828125,87.48000336
99.04000091552734,127.95999908447266,86.76000213623047
99.12000274658203,126.23999786376953,88.72000122070312
98.31999969482422,125.66000366210938,89.19999694824219
100.72000122070312,126.30000305175781,88.55999755859375
102.16000366210938,126.13999938964844,88.87999725341797
102.87999725341797,126.44999694824219,89.55999755859375
101.19999694824219,125.12999725341797,89.55999755859375
98.95999908447266,125,89.04000091552734
98.80000305175781,124.72000122070312,89.80000305175781
98.95999908447266,125.38999938964844,90.31999969482422
100.72000122070312,125.18000030517578,90.12000274658203
100.55999755859375,126.52999877929688,91.80000305175781
98.80000305175781,125.72000122070312,92.87999725341797
97.19999694824219,125.41999816894531,91.68000030517578
99.76000213623047,125.54000091552734,90.95999908447266
98.95999908447266,125.54000091552734,92.83999633789062
97.91999816894531,125.77999877929688,92.95999908447266
98.23999786376953,125.69999694824219,91.27999877929688
98.72000122070312,124.9000015258789,89.59999847
100.4000015258789,124.5999984741211,89.91999816894531
100.4000015258789,124.87000274658203,88.51999664
102.4800033569336,124.30999755859375,89.16000366210938
105.44000244140625,126.4800033569336,88.23999786376953
103.5999984741211,125.9800033569336,87.51999664
106.23999786376953,127.61000061035156,86.72000122070312
105.68000030517578,128.27999877929688,88.12000274658203
104.63999938964844,127.48999786376953,89.44000244140625
104.31999969482422,125.7300033569336,89.19999694824219
104.72000122070312,125.79000091552734,90.19999694824219
101.91999816894531,127.26000213623047,88.16000366210938
