BA,CAT,CVX,DIS,GE,HON,IBM,JNJ,KO,MMM,MRK,PG,XOM,MCD,AXP,DD,PFE,WMT,TRV,INTC
296.8399963378906,157.0399932861328,127.58000183105469,111.80000305175781,86.16802215576172,147.3232422,147.46653747558594,139.22999572753906,45.540000915527344,197.02340698242188,53.64503860473633,90.65000153,85.02999877929688,173.22000122070312,98.94000244140625,102.33309173583984,34.573055267333984,32.86333465576172,131.97999572753906,46.849998474121094
297.79998779296875,157.27999877929688,128.50999450683594,112.27999877929688,86.98273468017578,146.10601806640625,151.52008056640625,140.55999755859375,45.439998626708984,197.01504516601562,53.568702697753906,90.54000091552734,86.69999694824219,172.49000549316406,99.55000305175781,103.96985626220703,34.82922363,33.150001525878906,132.39999389648438,45.25999832
296.6700134277344,159.44000244140625,128.11000061035156,112.2300033569336,88.80386352539062,148.08041381835938,154.5889129638672,140.5500030517578,46.08000183105469,199.59030151367188,54.43702316,91.18000030517578,86.81999969482422,173.6999969482422,100.8499984741211,105.96243286132812,34.90512466430664,33.18000030517578,132.39999389648438,44.43000030517578
308.8399963378906,161.9600067138672,127.9000015258789,111.62000274658203,88.85179138183594,149.11553955078125,155.3441619873047,141.7100067138672,46.06999969482422,201.14549255371094,54.37977219,91.23999786376953,86.75,174.0500030517578,101.08000183105469,107.34300231933594,34.97153854370117,33.37666702270508,132.16000366210938,44.74000168
310.1499938964844,166.02999877929688,128.52999877929688,110.0199966430664,87.60575866699219,148.31044006347656,156.28106689453125,141.88999938964844,46,200.49331665039062,54.064884185791016,91.72000122070312,87.13999938964844,173.92999267578125,100.1500015258789,106.97295379638672,34.582542419433594,33.869998931884766,131.4499969482422,44.74000168
318.42999267578125,166.42999267578125,127.83999633789062,109.94000244140625,88.94763946533203,149.52767944335938,156.6252441,144.13999938964844,46.22999954223633,201.7391357421875,54.19847488,91.05000305175781,86.76999664,173.5399932861328,100.5199966430664,107.22914123535156,34.544593811035156,33.46333312988281,132.47000122070312,43.619998931884766
320.2600098,165.8699951171875,128.66000366210938,109.47000122070312,90.72084045410156,150.56280517578125,156.95985412597656,143.97000122070312,46.06999969482422,201.6220703,54.67557144165039,90.47000122070312,86.08000183105469,173.50999450683594,101.22000122070312,105.60661315917969,34.60151672363281,33.223331451416016,132.11000061035156,42.5
328.1199951171875,169.1999969482422,132.57000732421875,110.98999786376953,91.15216064453125,151.35830688476562,156.97897338867188,144.7899932861328,46.040000915527344,202.60032653808594,54.961830139160156,90.15000153,86.93000030517578,173.38999938964844,100.7300033569336,107.0583496,34.68690872192383,33.34000015258789,132.33999633789062,43.40999984741211
336.2099914550781,170.3000030517578,133.60000610351562,112.47000122070312,89.90612793,152.4605255126953,155.9655762,145.75999450683594,46.150001525878906,204.40635681152344,55.97328186035156,89.61000061035156,87.51999664,173.57000732421875,100.97000122070312,107.32877349853516,34.667930603027344,33.62333297729492,134.72999572753906,43.24000168
335.1600036621094,169.30999755859375,132.00999450683594,110.69000244140625,87.27028656,151.32955932617188,156.6443634033203,146.86000061035156,46.529998779296875,204.63211059570312,59.22710037231445,90.22000122070312,86.97000122070312,173.67999267578125,100.33999633789062,106.67406463623047,34.724857330322266,33.563331604003906,135.52000427246094,43.13999938964844
351.0100098,168.5,132.36000061035156,111.97000122070312,83.14878845214844,151.8279571533203,161.2332763671875,146.97999572753906,46.81999969482422,207.4498291015625,59.18893051147461,91.19999694824219,88,174.97999572753906,100.76000213623047,107.84114837646484,35.275142669677734,34.233333587646484,136.86000061035156,44.38999938964844
340.1600036621094,168.8300018310547,131.58999633789062,110.41999816894531,80.36917877197266,151.22413635253906,161.68260192871094,146.9199981689453,46.880001068115234,205.61036682128906,58.33015441894531,90.18000030517578,87.43000030517578,174.57000732421875,99.86000061035156,108.21119689941406,35.09487533569336,34.766666412353516,137.33999633789062,44.47999954223633
337.7300109863281,170.41000366210938,131.3000030517578,110.58999633789062,77.92503356933594,152.0963134765625,155.2294464111328,147.36000061035156,47.15999984741211,207.50836181640625,58.47328186035156,91.06999969482422,87.15000153,176.1199951171875,98.02999877929688,108.18273162841797,35.04743957519531,34.86333465576172,137.85000610351562,44.81999969482422
338,170.88999938964844,132.55999755859375,111.0999984741211,77.49371337890625,151.9525604248047,155.44932556152344,148.13999938964844,47.380001068115234,206.77256774902344,58.44465637207031,91.88999938964844,88.25,176.2100067138672,98.31999969482422,108.42469024658203,35.03795242,35.150001525878906,139.35000610351562,45.75
335.5899963378906,169.42999267578125,131.02000427246094,110.41000366210938,80.94426727294922,152.95892333984375,158.93881225585938,141.8300018310547,47.45000076293945,205.94480895996094,58.874046325683594,89.05000305175781,88.30000305175781,176.80999755859375,97.98000336,108.36775970458984,34.93358612060547,35.29999923706055,146.25999450683594,46.060001373291016
334.69000244140625,168.33999633789062,131.38999938964844,110.5,78.78767395019531,153.32313537597656,158.09751892089844,142.07000732421875,47.83000183105469,207.09866333007812,58.377864837646484,88.30999755859375,88.52999877929688,176.1199951171875,99.30000305175781,108.18273162841797,35.03795242,35.26333236694336,147.6199951171875,45.50999832
343.1099853515625,169.3699951171875,130.64999389648438,110.55000305175781,77.54163360595703,155.1154327392578,158.1931152,144.39999389648438,47.84000015258789,211.0033416748047,58.492366790771484,88.33999633789062,88.37000274658203,175.66000366210938,99.69000244140625,109.0936279296875,35.32258224487305,35.53333282470703,148.47000122070312,45.29999923706055
