BA,CAT,CVX,DIS,GE
296.8399963378906,157.0399932861328,127.58000183105469,111.80000305175781,86.16802215576172
297.79998779296875,157.27999877929688,128.50999450683594,112.27999877929688,86.98273468017578
296.6700134277344,159.44000244140625,128.11000061035156,112.2300033569336,88.80386352539062
308.8399963378906,161.9600067138672,127.9000015258789,111.62000274658203,88.85179138183594
310.1499938964844,166.02999877929688,128.52999877929688,110.0199966430664,87.60575866699219
318.42999267578125,166.42999267578125,127.83999633789062,109.94000244140625,88.94763946533203
320.2600098,165.8699951171875,128.66000366210938,109.47000122070312,90.72084045410156
328.1199951171875,169.1999969482422,132.57000732421875,110.98999786376953,91.15216064453125
336.2099914550781,170.3000030517578,133.60000610351562,112.47000122070312,89.90612793
335.1600036621094,169.30999755859375,132.00999450683594,110.69000244140625,87.27028656
351.0100098,168.5,132.36000061035156,111.97000122070312,83.14878845214844
340.1600036621094,168.8300018310547,131.58999633789062,110.41999816894531,80.36917877197266
337.7300109863281,170.41000366210938,131.3000030517578,110.58999633789062,77.92503356933594
338,170.88999938964844,132.55999755859375,111.0999984741211,77.49371337890625
335.5899963378906,169.42999267578125,131.02000427246094,110.41000366210938,80.94426727294922
334.69000244140625,168.33999633789062,131.38999938964844,110.5,78.78767395019531
343.1099853515625,169.3699951171875,130.64999389648438,110.55000305175781,77.54163360595703
343.2200012207031,167.05999755859375,131.19000244140625,112.19000244140625,77.30201721191406
340.82000732421875,162.5800018310547,128.47999572753906,111.54000091552734,78.02088165283203
337.7099914550781,163.75999450683594,125.2300033569336,110.11000061035156,76.43937683105469
354.3699951171875,162.77999877929688,125.3499984741211,108.66999816894531,77.49371337890625
356.94000244140625,162.24000549316406,125.56999969482422,110.48999786376953,76.77484893798828
348.9100036621094,157.49000549316406,118.58000183105469,108.69999694824219,74.95372009277344
328.8800048828125,151.0800018310547,112.62000274658203,104.69999694824219,71.45523834228516
340.9100036621094,156.41000366210938,117.18000030517578,106.16999816894531,73.1805191
348.1199951171875,154.33999633789062,115.29000091552734,104.76000213623047,73.08467102050781
329.6600036621094,145.99000549316406,112.30000305175781,101.3499984741211,69.25071716308594
332.8299865722656,149.2100067138672,113.5,103.08999633789062,71.59901428222656
343.79998779296875,152.2899932861328,113.9800033569336,103.38999938964844,71.02392578
343.1600036621094,153.97000122070312,113.29000091552734,104.12000274658203,70.30505371
344.8500061035156,158.05999755859375,113.62999725341797,104.5999984741211,71.40731811523438
356.4599914550781,159.97999572753906,112.52999877929688,105.18000030517578,71.16769409179688
355.0400085449219,156.2899932861328,112.13999938964844,106.52999877929688,72.12618255615234
353.3500061035156,155.55999755859375,110.9800033569336,105.9800033569336,70.64052582
352.3699951171875,155.22999572753906,109.05999755859375,105.05000305175781,69.44242095947266
355.9200134277344,158.86000061035156,109.88999938964844,105.23999786376953,70.06543731689453
356.6600036621094,162.41000366210938,112.58999633789062,107.25,69.44242095947266
363.4800109863281,163.69000244140625,114.5999984741211,109.80999755859375,70.20920563
364.6400146484375,161.25999450683594,113.61000061035156,104.87000274658203,69.49034118652344
362.2099914550781,154.6300048828125,111.91999816894531,103.16000366210938,67.62129211425781
349.69000244140625,150.22999572753906,112.04000091552734,102.56999969482422,67.18997192382812
344.6700134277344,146.3800048828125,111.63999938964844,102.98999786376953,67.66921234
